house_id,size_sqft,bedrooms,age,distance_city_km,price
103,836.0,6,57.0,0.25,159995.77
104,3734.0,3,9.0,43.09,519951.69
105,3304.0,1,10.0,16.24,469552.2
106,2804.0,3,52.0,0.1,406016.67
107,1614.0,1,57.0,28.58,214211.28
108,1663.0,5,42.0,15.23,267664.06
109,726.0,7,30.0,12.87,135142.14
110,1984.0,6,,12.83,328816.8
111,2042.0,3,29.0,49.22,286700.23
112,1335.0,0,65.0,36.19,137971.83
113,2289.0,2,11.0,42.63,309975.52
114,3063.0,6,35.0,20.74,468198.99
115,884.0,3,31.0,46.35,106815.73
116,663.0,5,30.0,39.34,87218.23
117,2577.0,4,32.0,46.17,372874.36
118,3399.0,3,13.0,40.35,488957.61
119,3619.0,2,5.0,5.54,537895.75
120,3036.0,2,36.0,18.25,424961.82
121,3675.0,6,42.0,17.24,563226.82
122,786.0,7,19.0,25.74,170957.28
123,3399.0,6,67.0,40.6,491949.67
124,2250.0,7,29.0,22.22,368728.92
125,1489.0,1,-1.0,21.5,199417.44
126,2557.0,4,40.0,13.39,367622.0
127,3869.0,1,57.0,7.53,555379.13
128,1362.0,5,24.0,22.85,199421.11
129,1612.0,0,27.0,12.01,210978.06
130,2859.0,0,14.0,9.17,412186.03
131,2775.0,0,-2.0,42.17,368868.46
132,3720.0,4,13.0,0.98,593039.82
133,941.0,4,47.0,49.24,111346.6
134,2074.0,4,1.0,38.61,305848.93
135,3038.0,3,0.0,36.45,446714.28
136,2848.0,7,0.0,40.02,466418.23
137,647.0,2,30.0,34.66,70084.15
138,3326.0,0,3.0,47.51,461961.94
139,1369.0,6,35.0,41.74,229383.34
140,2358.0,5,2.0,17.75,378911.8
141,2733.0,7,53.0,29.95,432546.89
142,3853.0,2,22.0,34.48,570210.69
143,2303.0,2,-1.0,15.09,346372.29
144,1439.0,2,33.0,9.03,195113.63
145,2465.0,,27.0,47.53,320517.27
146,1590.0,1,-2.0,44.04,203954.31
147,3959.0,5,36.0,41.0,579951.13
148,2492.0,5,41.0,31.85,383000.95
149,3216.0,1,26.0,16.03,446102.13
150,3507.0,3,24.0,27.05,541161.86
151,2354.0,5,6.0,38.1,372509.52
152,2948.0,3,20.0,27.82,462668.0
153,2894.0,1,17.0,12.0,425282.14
154,2664.0,7,31.0,3.28,452246.71
155,1275.0,6,10.0,41.25,210651.57
156,2112.0,1,28.0,25.5,301642.35
157,546.0,0,38.0,6.47,45585.41
158,,0,-5.0,24.59,-28906.94
159,624.0,7,50.0,,148170.77
160,459.0,2,64.0,15.76,54821.82
161,2453.0,1,46.0,39.21,342865.16
162,3125.0,5,45.0,31.51,453108.4
163,2216.0,1,1.0,21.36,312115.28
164,1325.0,4,38.0,28.14,205360.9
165,3498.0,3,32.0,25.45,498479.69
166,1611.0,2,41.0,45.69,225799.95
167,2174.0,3,39.0,2.13,288884.75
168,3527.0,4,58.0,40.79,486388.45
169,2785.0,4,-2.0,23.45,449750.45
170,1690.0,7,27.0,7.68,298851.41
171,424.0,4,9.0,3.58,99411.23
172,1189.0,2,31.0,41.76,145986.17
173,2536.0,4,41.0,20.83,391761.88
174,2022.0,6,55.0,34.8,292820.31
175,3143.0,4,40.0,47.19,468077.82
176,2905.0,6,57.0,23.37,446021.85
177,1398.0,1,46.0,14.57,147481.57
178,2877.0,7,21.0,2.64,522021.89
179,2151.0,1,11.0,41.72,304810.59
180,2728.0,1,51.0,39.84,359805.22
181,1919.0,4,52.0,15.37,311750.89
182,1941.0,5,25.0,3.64,325282.94
183,3772.0,6,46.0,48.25,557051.46
184,3049.0,4,9.0,6.19,495398.17
185,2726.0,7,38.0,18.53,458870.79
186,737.0,0,62.0,25.38,60194.2
187,2992.0,7,29.0,23.48,479729.83
188,3546.0,2,8.0,21.91,523758.66
189,1609.0,5,51.0,11.53,221850.49
190,2195.0,6,46.0,14.63,350995.3
191,505.0,3,12.0,11.92,81260.13
192,2221.0,1,63.0,19.07,289515.7
193,1963.0,,67.0,24.65,233846.74
194,3858.0,2,41.0,1.51,568173.02
195,1932.0,3,34.0,32.32,273542.6
196,2445.0,0,46.0,32.96,312294.72
197,1699.0,2,-5.0,37.97,220366.07
198,1515.0,7,49.0,28.84,229993.09
199,1855.0,0,37.0,13.34,249379.41
200,985.0,6,33.0,37.9,
201,1279.0,6,62.0,13.44,196390.84
202,1086.0,3,63.0,11.23,135868.91
203,2723.0,2,30.0,,409977.33
204,3399.0,1,64.0,39.38,451705.16
205,1180.0,4,26.0,9.1,197486.65
206,3809.0,6,52.0,1.31,607315.63
207,896.0,7,12.0,27.17,170834.39
208,1767.0,4,35.0,12.13,258495.31
209,2733.0,3,46.0,27.84,388401.24
210,2079.0,0,14.0,10.83,280995.86
211,3354.0,6,38.0,14.71,489700.29
212,3340.0,2,15.0,23.43,492990.65
213,2550.0,7,8.0,17.19,414249.95
214,3921.0,3,3.0,22.9,630717.4
215,2946.0,4,42.0,6.87,450015.45
216,2782.0,7,36.0,2.02,466573.15
217,2736.0,3,-3.0,47.81,394469.33
218,1317.0,0,7.0,43.25,160970.48
219,1453.0,4,49.0,28.36,196205.46
220,483.0,4,28.0,27.36,53645.04
221,1255.0,2,24.0,12.32,222163.32
222,2816.0,3,2.0,35.27,412452.46
223,649.0,6,62.0,10.09,85109.04
224,949.0,6,2.0,45.68,131442.12
225,1014.0,5,30.0,33.05,150883.0
226,1341.0,three,19.0,10.75,190696.4
227,1767.0,6,49.0,26.32,281938.03
228,1231.0,2,3.0,44.35,171821.02
229,2512.0,2,22.0,6.65,388508.16
230,1886.0,7,57.0,25.92,292323.7
231,1823.0,4,22.0,2.23,300098.48
232,,1,22.0,43.95,-66842.81
233,2836.0,1,9.0,10.86,433805.77
234,3528.0,0,69.0,44.42,439345.44
235,2906.0,0,29.0,24.33,409428.9
236,3376.0,2,49.0,26.16,494368.13
237,1246.0,3,34.0,20.54,167479.16
238,2594.0,5,1.0,46.96,355515.22
239,974.0,1,68.0,31.22,70426.1
240,3447.0,2,9.0,40.68,481806.77
241,3705.0,7,46.0,17.42,608037.77
242,1598.0,5,36.0,28.49,264568.66
243,618.0,4,49.0,6.43,104155.72
244,3490.0,5,59.0,18.62,559242.93
245,774.0,4,43.0,10.62,131809.75
246,440.0,5,37.0,8.47,63434.36
247,3159.0,1,20.0,14.24,448207.32
248,1898.0,5,22.0,23.74,297200.43
249,1258.0,4,65.0,2.67,195660.43
250,3764.0,3,21.0,45.68,537045.63
251,764.0,1,13.0,43.9,65478.97
252,3098.0,1,68.0,11.23,430109.46
253,1543.0,0,4.0,8.39,253123.3
254,2749.0,7,25.0,48.41,414199.94
255,3521.0,2,48.0,20.68,520167.93
256,892.0,1,53.0,23.86,78385.52
257,651.0,0,45.0,43.03,39790.31
258,2818.0,7,43.0,15.94,476441.51
259,2963.0,5,35.0,16.41,454271.54
260,2896.0,7,14.0,18.79,468125.75
261,3911.0,2,12.0,1.74,577342.8
262,895.0,0,68.0,26.82,75684.05
263,2419.0,2,31.0,44.39,299710.37
264,1238.0,0,-2.0,1.98,187761.89
265,953.0,3,31.0,28.24,138005.69
266,2929.0,5,12.0,39.28,444297.89
267,2933.0,7,40.0,10.15,497481.21
268,3800.0,7,46.0,19.74,598834.4
269,652.0,3,46.0,16.25,99968.84
270,2198.0,2,12.0,5.22,353725.04
271,566.0,1,41.0,36.11,9957.8
272,2146.0,4,44.0,21.23,318619.94
273,3382.0,1,-3.0,3.96,509553.24
274,651.0,2,34.0,40.55,60593.66
275,2207.0,4,16.0,29.57,314770.73
276,2120.0,6,50.0,43.62,315682.23
277,655.0,4,52.0,10.89,107932.42
278,1494.0,0,58.0,29.68,167184.53
279,3341.0,1,20.0,1.68,490688.28
280,585.0,2,58.0,27.94,52520.51
281,1320.0,1,25.0,7.65,175317.14
282,3246.0,7,33.0,26.05,533030.85
283,3967.0,0,38.0,31.65,564867.57
284,3200.0,0,67.0,48.24,396268.05
285,1254.0,1,35.0,46.11,122465.11
286,560.0,0,28.0,8.81,58265.85
287,1659.0,6,57.0,3.69,245357.54
288,2609.0,3,21.0,26.99,374820.69
289,1304.0,5,2.0,4.51,230760.89
290,674.0,4,11.0,12.09,119638.27
291,1927.0,5,34.0,8.07,329749.62
292,2160.0,4,54.0,27.87,328313.14
293,1583.0,6,38.0,5.45,265075.59
294,1416.0,4,39.0,48.47,160285.55
295,3483.0,6,47.0,5.8,534964.51
296,3677.0,6,23.0,44.97,583797.51
297,732.0,4,46.0,46.69,92613.94
298,3033.0,3,63.0,48.28,399525.95
299,2309.0,5,12.0,24.6,393085.1
300,1648.0,1,10.0,35.44,227085.81
301,3334.0,5,56.0,11.04,534473.88
302,811.0,1,8.0,8.08,98943.73
303,1572.0,7,34.0,3.86,305336.24
304,3180.0,2,23.0,45.44,460534.59
305,1336.0,4,30.0,12.45,
306,1182.0,4,6.0,37.02,187326.78
307,767.0,4,11.0,28.4,110961.09
308,3301.0,5,22.0,8.12,545501.25
309,2363.0,6,56.0,28.91,380755.31
310,3937.0,7,38.0,45.89,592345.37
311,2867.0,,27.0,23.9,383542.1
312,1758.0,1,56.0,18.53,237269.25
313,2335.0,4,19.0,5.29,386462.39
314,1820.0,0,35.0,18.89,244113.02
315,1794.0,5,16.0,46.48,245207.95
316,"1,000",0,61.0,11.77,553525.06
317,2235.0,2,-4.0,,354852.09
318,3481.0,6,40.0,17.56,542110.94
319,2108.0,1,46.0,18.78,276797.47
320,1659.0,0,0.0,28.44,233842.49
321,3929.0,5,15.0,40.35,600779.35
322,3369.0,2,1.0,46.9,478761.26
323,2656.0,0,50.0,23.19,345979.71
324,2068.0,6,40.0,4.06,346556.2
325,1989.0,1,14.0,24.06,296724.56
326,3955.0,0,31.0,29.54,550354.97
327,1020.0,2,45.0,12.93,117953.95
328,3069.0,0,25.0,36.46,403604.55
329,479.0,5,37.0,29.93,26863.07
330,1480.0,2,52.0,8.91,194881.32
331,3981.0,three,54.0,19.38,562386.47
332,726.0,7,5.0,27.36,140742.66
333,2879.0,4,59.0,5.82,415220.22
334,3560.0,6,41.0,9.43,560886.58
335,3466.0,6,21.0,2.36,565053.31
336,820.0,4,16.0,39.77,124419.89
337,1690.0,3,59.0,38.17,236088.34
338,2518.0,1,44.0,38.76,352296.36
339,549.0,3,63.0,34.98,67305.5
340,2267.0,2,24.0,36.03,282078.87
341,3993.0,0,23.0,34.04,567201.82
342,509.0,2,58.0,49.91,12261.48
343,1506.0,4,69.0,34.71,219348.02
344,2041.0,4,62.0,36.48,265655.47
345,607.0,6,69.0,5.41,82038.31
346,2630.0,0,2.0,28.5,380336.58
347,2767.0,1,16.0,1.91,419271.35
348,3283.0,5,60.0,29.52,484567.76
349,3605.0,1,32.0,28.41,509098.81
350,3477.0,3,29.0,19.25,490967.38
351,3394.0,4,35.0,6.75,532952.68
352,1441.0,1,5.0,0.36,198494.98
353,2738.0,3,21.0,3.35,391545.67
354,951.0,2,53.0,8.66,138626.91
355,3584.0,4,28.0,20.33,574466.67
356,1834.0,6,5.0,22.48,318968.92
357,1045.0,3,22.0,1.52,170875.57
358,2476.0,6,56.0,36.82,354428.53
359,3196.0,2,37.0,13.69,499404.76
360,1643.0,1,52.0,5.57,
361,2667.0,2,32.0,30.57,388881.95
362,2630.0,6,60.0,28.65,383655.93
363,2123.0,6,-3.0,32.72,362262.47
364,3817.0,3,16.0,13.35,576005.71
365,1995.0,7,64.0,19.28,289921.31
366,2531.0,5,35.0,35.56,373190.08
367,2847.0,5,51.0,4.9,432002.93
368,2343.0,0,22.0,40.36,311991.74
369,3676.0,5,33.0,39.03,526727.06
370,3119.0,2,62.0,27.28,447133.27
371,983.0,6,17.0,22.67,183444.71
372,1997.0,3,40.0,18.41,285065.02
373,2739.0,3,9.0,49.6,393572.51
374,2691.0,2,11.0,14.2,408819.66
375,1178.0,7,48.0,10.61,207567.34
376,3228.0,5,20.0,43.03,494029.69
377,3325.0,5,58.0,38.3,486730.36
378,2820.0,0,42.0,38.6,343187.2
379,2946.0,7,21.0,20.33,464870.37
380,2988.0,4,39.0,10.5,459430.65
381,3909.0,1,63.0,14.67,549969.9
382,2348.0,5,5.0,26.97,383758.97
383,3656.0,4,61.0,5.62,547311.71
384,1585.0,1,-4.0,6.72,245572.29
385,2338.0,3,-2.0,7.23,364068.23
386,1759.0,1,4.0,4.92,252914.29
387,3129.0,6,-5.0,34.68,520572.91
388,"1,000",6,44.0,37.15,307886.13
389,2426.0,2,19.0,17.24,356260.05
390,2816.0,2,24.0,7.59,410556.62
391,,3,30.0,20.43,15409.96
392,2090.0,1,13.0,1.48,338461.58
393,778.0,0,36.0,8.8,102424.89
394,3266.0,6,21.0,21.08,510845.14
395,1088.0,2,35.0,5.51,146297.76
396,2333.0,6,52.0,25.81,347667.47
397,486.0,2,57.0,17.95,64446.42
398,1899.0,3,-5.0,45.45,270308.03
399,3573.0,,49.0,47.52,452111.14
400,3801.0,1,69.0,25.57,510116.19
401,2153.0,0,3.0,0.48,342365.78
402,1870.0,1,57.0,33.38,238152.99
403,"1,000",6,19.0,31.79,315804.13
404,502.0,6,37.0,26.55,61975.93
405,2017.0,2,66.0,0.94,275437.61
406,"1,000",4,60.0,21.31,82618.32
407,3972.0,5,39.0,29.44,590525.09
408,1864.0,3,10.0,38.32,245527.75
409,2047.0,0,21.0,36.33,230156.59
410,3386.0,5,18.0,34.13,527867.19
411,951.0,1,4.0,21.46,157251.24
412,2332.0,2,50.0,19.91,326999.05
413,1320.0,,17.0,39.96,156004.88
414,1430.0,5,42.0,47.41,198818.22
415,1423.0,3,55.0,36.34,183698.24
416,877.0,0,43.0,43.26,57083.84
417,2042.0,6,51.0,13.91,321255.99
418,2453.0,three,58.0,49.01,305592.87
419,952.0,7,67.0,30.47,137452.35
420,2159.0,0,42.0,39.94,280039.29
421,3508.0,7,36.0,8.97,596219.51
422,1380.0,three,34.0,49.36,158281.52
423,2664.0,1,61.0,33.5,357086.75
424,2433.0,2,30.0,48.17,319113.14
425,2978.0,2,-1.0,28.01,455907.72
426,3283.0,4,56.0,22.06,457946.75
427,715.0,1,16.0,42.84,48547.96
428,2668.0,5,55.0,46.23,367213.32
429,3808.0,0,2.0,34.04,533713.28
430,2289.0,7,48.0,29.42,366040.44
431,1141.0,4,26.0,7.03,197860.25
432,2546.0,6,20.0,8.34,427377.97
433,851.0,6,31.0,32.75,133270.85
434,3390.0,1,52.0,48.89,434405.67
435,1552.0,5,18.0,29.62,240769.42
436,1503.0,1,13.0,40.98,195851.92
437,488.0,2,55.0,0.46,79914.37
438,1463.0,1,14.0,34.47,160013.24
439,1683.0,1,53.0,2.0,222987.62
440,3140.0,7,-2.0,44.56,513279.18
441,2330.0,6,-5.0,0.09,398944.31
442,3273.0,7,22.0,47.3,491283.41
443,3233.0,2,43.0,27.34,475121.1
444,1542.0,4,9.0,15.46,263250.07
445,641.0,5,26.0,31.75,112243.28
446,678.0,5,59.0,29.76,
447,3835.0,4,63.0,34.44,546108.95
448,3028.0,6,32.0,16.89,467957.56
449,2678.0,7,47.0,9.33,454774.43
450,510.0,5,15.0,11.93,114207.93
451,2528.0,1,45.0,25.59,358523.99
452,1599.0,7,40.0,26.98,271687.0
453,2360.0,3,56.0,11.59,339790.74
454,3996.0,2,49.0,2.57,612714.74
455,1914.0,4,24.0,15.72,286775.06
456,1133.0,3,23.0,10.5,162198.77
457,2365.0,2,49.0,,358404.3
458,2334.0,1,-2.0,9.77,340399.89
459,983.0,2,39.0,30.38,103286.86
460,725.0,three,21.0,38.35,83214.57
461,1619.0,5,26.0,45.85,221800.73
462,1641.0,2,29.0,0.14,242807.04
463,3207.0,0,46.0,37.42,401572.14
464,1256.0,1,15.0,31.22,166955.93
465,3748.0,5,21.0,41.42,558432.92
466,3244.0,6,49.0,10.4,498360.31
467,"1,000",three,55.0,5.65,276497.76
468,839.0,3,45.0,40.09,80973.86
469,3555.0,6,8.0,47.95,524955.97
470,1081.0,7,31.0,47.74,162778.56
471,1507.0,0,49.0,12.7,172795.78
472,2792.0,1,29.0,35.53,394138.07
473,3862.0,6,38.0,28.54,558938.84
474,3092.0,7,47.0,2.18,501202.45
475,662.0,5,32.0,34.72,93508.1
476,3006.0,0,43.0,41.07,364557.84
477,2413.0,5,6.0,28.83,378599.95
478,2091.0,6,56.0,33.07,330924.91
479,2912.0,5,1.0,43.67,447885.48
480,3754.0,5,44.0,21.25,577268.21
481,3937.0,0,9.0,33.86,527814.29
482,3555.0,7,28.0,37.09,555845.67
483,1353.0,4,6.0,0.97,229194.85
484,2833.0,4,40.0,18.27,437077.16
485,636.0,4,0.0,17.43,107484.92
486,3109.0,1,38.0,24.65,414297.31
487,929.0,7,62.0,5.27,188006.92
488,1751.0,1,-2.0,15.21,263594.35
489,3246.0,5,69.0,23.39,447111.37
490,3854.0,3,26.0,11.08,579354.22
491,1060.0,2,7.0,6.31,181101.85
492,1065.0,6,2.0,17.54,196286.42
493,3914.0,2,24.0,,626529.67
494,891.0,0,62.0,23.87,81716.83
495,1472.0,7,53.0,1.54,270107.09
496,522.0,5,23.0,40.39,72807.72
497,1255.0,6,40.0,10.14,206053.49
498,3827.0,3,32.0,5.65,576349.21
499,3331.0,4,15.0,42.84,475029.14
500,1971.0,6,-5.0,36.0,315255.61
501,3552.0,,45.0,26.88,486359.79
502,1849.0,2,64.0,36.77,222163.59
503,511.0,7,7.0,38.78,118369.84
504,638.0,6,0.0,7.21,130105.7
505,753.0,1,69.0,32.02,75390.87
506,797.0,4,-5.0,1.46,154844.46
507,810.0,7,58.0,1.5,142892.5
508,3270.0,2,12.0,36.05,452926.69
509,576.0,6,48.0,18.64,105423.5
510,3588.0,1,49.0,3.76,510736.27
511,3368.0,1,62.0,15.23,493510.99
512,2647.0,6,69.0,46.1,395573.13
513,3031.0,4,66.0,8.91,453877.74
514,2109.0,4,52.0,4.49,324066.4
515,2548.0,1,16.0,25.23,367284.41
516,867.0,3,57.0,16.97,121869.45
517,2745.0,7,30.0,38.81,412978.01
518,780.0,6,67.0,28.27,106960.84
519,,5,20.0,23.74,-3516.74
520,3407.0,1,28.0,25.52,497527.7
521,944.0,1,50.0,0.1,149875.3
522,3921.0,6,15.0,5.76,632961.55
523,2998.0,1,11.0,5.7,448627.0
524,3349.0,4,48.0,40.59,471242.64
525,2838.0,5,37.0,41.19,427084.66
526,2750.0,4,18.0,32.5,417463.17
527,3577.0,5,57.0,39.6,501756.09
528,2365.0,1,68.0,49.95,275832.56
529,3026.0,7,59.0,39.18,462253.22
530,3780.0,1,32.0,45.75,510182.17
531,1842.0,6,33.0,16.19,319308.97
532,1528.0,0,6.0,10.11,205736.95
533,2926.0,3,12.0,45.61,409073.77
534,2254.0,1,54.0,32.88,302703.12
535,3447.0,7,38.0,44.87,499992.13
536,1334.0,1,0.0,23.98,169116.19
537,1285.0,0,48.0,20.5,142566.29
538,,4,68.0,12.06,7590.64
539,1187.0,6,59.0,21.87,175258.5
540,1313.0,5,68.0,18.4,168023.55
541,522.0,2,36.0,28.26,39881.32
542,3253.0,0,2.0,0.89,478112.28
543,3977.0,7,61.0,12.84,613454.56
544,1521.0,4,21.0,8.64,248390.0
545,1574.0,4,19.0,29.74,245758.65
546,2124.0,5,15.0,31.19,343306.93
547,585.0,0,61.0,25.23,36806.71
548,3759.0,3,53.0,44.04,517241.04
549,478.0,6,-2.0,44.4,79687.08
550,1795.0,4,38.0,47.29,238630.3
551,3180.0,6,54.0,45.76,479407.8
552,885.0,6,50.0,43.29,132727.0
553,1119.0,2,26.0,7.01,182121.74
554,2315.0,5,-2.0,13.73,375309.97
555,1653.0,three,24.0,47.25,254264.53
556,955.0,3,16.0,41.59,131418.2
557,770.0,0,44.0,36.5,45163.43
558,1902.0,7,10.0,46.99,311573.75
559,2820.0,4,22.0,22.22,428099.53
560,1939.0,7,-3.0,49.97,292371.26
561,2953.0,4,19.0,5.09,491159.96
562,873.0,1,62.0,17.45,94353.28
563,1277.0,3,26.0,35.0,144411.7
564,1547.0,2,27.0,33.84,209800.21
565,2393.0,4,57.0,23.63,348201.13
566,2154.0,7,,49.27,354439.56
567,"1,000",2,40.0,15.49,399822.31
568,3156.0,7,62.0,11.21,494824.18
569,1778.0,2,42.0,47.31,215981.77
570,963.0,1,20.0,40.88,88699.37
571,1585.0,2,-2.0,1.57,255980.78
572,3755.0,7,49.0,6.46,601280.51
573,3954.0,7,2.0,20.04,633146.17
574,1940.0,2,1.0,46.56,255218.82
575,3614.0,6,17.0,41.86,543263.93
576,3888.0,1,36.0,26.98,567876.22
577,3007.0,3,32.0,25.94,430221.94
578,2475.0,3,7.0,13.42,391594.4
579,2275.0,3,44.0,23.07,300585.43
580,3499.0,0,40.0,26.52,456662.21
581,3844.0,0,45.0,17.42,543820.51
582,990.0,5,19.0,15.46,159786.7
583,1124.0,6,69.0,36.94,168509.88
584,2823.0,1,3.0,9.02,398612.27
585,3378.0,7,-5.0,25.9,549276.46
586,719.0,2,29.0,35.71,73087.98
587,2040.0,0,67.0,39.66,250378.81
588,851.0,3,46.0,4.0,125863.09
589,426.0,6,30.0,43.78,66456.76
590,1340.0,7,40.0,2.51,252847.7
591,3481.0,2,31.0,45.13,527997.88
592,2717.0,7,20.0,17.91,465801.16
593,1086.0,4,29.0,41.66,118792.02
594,3036.0,3,45.0,37.98,418733.04
595,3140.0,3,61.0,49.2,418387.83
596,1233.0,5,51.0,12.58,200960.31
597,2881.0,2,24.0,25.65,436231.8
598,2746.0,3,11.0,44.35,414531.47
599,1336.0,1,6.0,37.8,169614.79
600,1208.0,7,35.0,23.61,216679.04
601,1726.0,6,36.0,32.07,253885.19
602,444.0,2,49.0,37.32,17917.51
603,1409.0,2,43.0,31.24,196132.47
604,1516.0,5,42.0,46.6,210395.93
605,2512.0,7,49.0,37.05,380888.86
606,1952.0,0,-3.0,39.28,258373.86
607,571.0,4,,25.71,96549.85
608,3528.0,7,61.0,9.72,546041.84
609,3981.0,three,46.0,13.8,559415.84
610,1156.0,5,44.0,4.08,208320.98
611,2658.0,3,0.0,44.43,382097.39
612,3248.0,3,5.0,21.33,500550.94
613,1875.0,4,42.0,48.94,242143.18
614,2698.0,0,30.0,27.69,379273.53
615,1922.0,2,37.0,10.45,293203.89
616,1604.0,0,46.0,37.86,192769.21
617,1321.0,0,32.0,4.85,189799.9
618,2791.0,5,1.0,45.76,424607.0
619,726.0,3,30.0,12.01,142342.15
620,1338.0,7,27.0,40.82,211317.12
621,3140.0,1,62.0,6.77,452330.06
622,1513.0,6,25.0,7.0,269548.6
623,1119.0,0,18.0,3.86,123879.1
624,1437.0,5,57.0,4.0,226651.66
625,2370.0,7,27.0,11.26,420126.98
626,3852.0,2,42.0,37.68,553412.52
627,1332.0,6,1.0,47.57,197384.57
628,1627.0,0,12.0,34.22,193255.67
629,1724.0,5,22.0,38.09,274148.36
630,2826.0,3,36.0,0.06,456822.51
631,1306.0,5,66.0,5.23,228619.21
632,1744.0,5,15.0,38.55,250624.85
633,2866.0,0,4.0,41.83,380579.29
634,2863.0,6,22.0,14.04,450170.05
635,3137.0,7,5.0,0.05,523800.06
636,2992.0,4,64.0,22.99,451663.18
637,3796.0,6,66.0,36.65,553655.98
638,1712.0,0,41.0,1.0,227451.01
639,1233.0,7,12.0,46.73,198925.95
640,2224.0,3,-3.0,6.15,374990.87
